Rank;Title;Score;Source;Category;URL;Additional_Info
1;Sousou no Frieren;9.30;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/52991/Sousou_no_Frieren;"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members"
2;Fullmetal Alchemist: Brotherhood;9.10;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members"
3;"Steins;Gate";9.07;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/9253/Steins_Gate;"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members"
4;Shingeki no Kyojin Season 3 Part 2;9.05;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2;"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members"
5;Gintama°;9.05;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/28977/Gintama°;"TV (51 eps)
        Apr 2015 - Mar 2016
        670,442 members"
6;Gintama: The Final;9.04;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/39486/Gintama__The_Final;"Movie (1 eps)
        Jan 2021 - Jan 2021
        171,208 members"
7;One Piece Fan Letter;9.04;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/60022/One_Piece_Fan_Letter;"TV Special (1 eps)
        Oct 2024 - Oct 2024
        116,022 members"
8;Hunter x Hunter (2011);9.03;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members"
9;Gintama';9.02;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/9969/Gintama;"TV (51 eps)
        Apr 2011 - Mar 2012
        592,421 members"
10;Gintama': Enchousen;9.02;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/15417/Gintama__Enchousen;"TV (13 eps)
        Oct 2012 - Mar 2013
        346,950 members"
11;Ginga Eiyuu Densetsu;9.01;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu;"OVA (110 eps)
        Jan 1988 - Mar 1997
        346,374 members"
12;Bleach: Sennen Kessen-hen;8.99;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen;"TV (13 eps)
        Oct 2022 - Dec 2022
        643,927 members"
13;Gintama.;8.98;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/34096/Gintama;"TV (12 eps)
        Jan 2017 - Mar 2017
        336,685 members"
14;Kaguya-sama wa Kokurasetai: Ultra Romantic;8.98;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members"
15;Fruits Basket: The Final;8.95;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/42938/Fruits_Basket__The_Final;"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members"
16;Clannad: After Story;8.93;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/4181/Clannad__After_Story;"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members"
17;Gintama;8.93;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/918/Gintama;"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members"
18;Koe no Katachi;8.93;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/28851/Koe_no_Katachi;"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members"
19;Code Geass: Hangyaku no Lelouch R2;8.91;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members"
20;3-gatsu no Lion 2nd Season;8.90;myanimelist;action_adventure_shounen;https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season;"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members"
1;Sousou no Frieren;9.72;anidb;action_adventure_shounen;https://anidb.net/anime/17617;Type: TV Series | Episodes: 28
2;Hagane no Renkinjutsushi (2009);9.54;anidb;action_adventure_shounen;https://anidb.net/anime/6107;Type: TV Series | Episodes: 64
3;Gintama`;9.46;anidb;action_adventure_shounen;https://anidb.net/anime/8126;Type: TV Series | Episodes: 51
4;Hunter x Hunter (2011);9.20;anidb;action_adventure_shounen;https://anidb.net/anime/8550;Type: TV Series | Episodes: 148
5;Shingeki no Kyojin Season 3 (2019);9.14;anidb;action_adventure_shounen;https://anidb.net/anime/14444;Type: TV Series | Episodes: 10
6;Uchuu Senkan Yamato 2199;8.94;anidb;action_adventure_shounen;https://anidb.net/anime/8787;Type: OVA | Episodes: 26
7;Tengen Toppa Gurren Lagann;8.74;anidb;action_adventure_shounen;https://anidb.net/anime/4575;Type: TV Series | Episodes: 27
8;Shingeki no Kyojin: The Final Season;8.52;anidb;action_adventure_shounen;https://anidb.net/anime/14977;Type: TV Series | Episodes: 16
9;Dan Da Dan;8.42;anidb;action_adventure_shounen;https://anidb.net/anime/18290;Type: TV Series | Episodes: 12
10;Kimetsu no Yaiba: Yuukaku Hen;8.35;anidb;action_adventure_shounen;https://anidb.net/anime/16054;Type: TV Series | Episodes: 11
11;One Piece;8.33;anidb;action_adventure_shounen;https://anidb.net/anime/69;Type: TV Series | Episodes: TBC
12;Shingeki no Kyojin Season 3;8.33;anidb;action_adventure_shounen;https://anidb.net/anime/13241;Type: TV Series | Episodes: 12
13;Hagane no Renkinjutsushi;8.29;anidb;action_adventure_shounen;https://anidb.net/anime/979;Type: TV Series | Episodes: 51
14;Shingeki no Kyojin;8.26;anidb;action_adventure_shounen;https://anidb.net/anime/9541;Type: TV Series | Episodes: 25
15;Tsubasa Tokyo Revelations;8.26;anidb;action_adventure_shounen;https://anidb.net/anime/5301;Type: OVA | Episodes: 3
16;Hunter x Hunter (1999);8.22;anidb;action_adventure_shounen;https://anidb.net/anime/132;Type: TV Series | Episodes: 62
17;JoJo no Kimyou na Bouken: Stardust Crusaders (2015);8.22;anidb;action_adventure_shounen;https://anidb.net/anime/10835;Type: TV Series | Episodes: 24
18;Hunter x Hunter: Greed Island Final;8.21;anidb;action_adventure_shounen;https://anidb.net/anime/1427;Type: OVA | Episodes: 14
19;Hunter x Hunter: Original Video Animation;8.18;anidb;action_adventure_shounen;https://anidb.net/anime/173;Type: OVA | Episodes: 8
20;Meitantei Conan: Shikkoku no Chaser;8.13;anidb;action_adventure_shounen;https://anidb.net/anime/6245;Type: Movie | Episodes: 1
1;Fullmetal Alchemist: Brotherhood;4.6;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood;TV (64 eps) | 2009 - 2010
2;Solo Leveling Season 2: Arise from the Shadow;4.6;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow;TV (13 eps) | 2025
3;Frieren: Beyond Journey's End;4.6;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/frieren-beyond-journeys-end;TV (28 eps) | 2023 - 2024
4;The Master of Diabolism 3;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/the-master-of-diabolism-3;Web (12 eps) | 2021
5;Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc;TV (11 eps) | 2021 - 2022
6;Attack on Titan 3rd Season: Part II;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii;TV (10 eps) | 2019
7;Bleach: Thousand-Year Blood War;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/bleach-thousand-year-blood-war;TV (13 eps) | 2022
8;Jujutsu Kaisen;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/jujutsu-kaisen;TV (24 eps) | 2020 - 2021
9;Attack on Titan The Final Season: The Final Chapters;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters;TV Special (2 eps) | 2023
10;Hunter x Hunter (2011);4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/hunter-x-hunter-2011;TV (148 eps) | 2011 - 2014
11;Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-movie-mugen-train;Movie (1 ep) | 2020
12;Attack on Titan The Final Season;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/attack-on-titan-the-final-season;TV (16 eps) | 2020 - 2021
13;Gintama: The Very Final;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/gintama-the-very-final;Movie (1 ep) | 2021
14;Jujutsu Kaisen Season 2;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/jujutsu-kaisen-season-2;TV (23 eps) | 2023
15;Heaven Official's Blessing;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/heaven-officials-blessing;Web (11 eps) | 2020 - 2021
16;The Master of Diabolism 2;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/the-master-of-diabolism-2;Web (8 eps) | 2019
17;Demon Slayer: Kimetsu no Yaiba;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba;TV (26 eps) | 2019
18;One Piece: Fan Letter;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/one-piece-fan-letter;TV Special (1 ep) | 2024
19;Haikyuu!! Karasuno High School vs Shiratorizawa Academy;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy;TV (10 eps) | 2016
20;A Silent Voice;4.5;animeplanet;action_adventure_shounen;https://www.anime-planet.com/anime/a-silent-voice;Movie (1 ep) | 2016
